Timestamp,LoopCnt,LoopTime(ms),AvgLoopTime(ms),IrCnt,IrTime(ms),AvgIrTime(ms),IR1,IR2,IR3,IR4,IR5,T1,T2,T3,T4,T5
14:33:55.625,52244,25,25.00,26123,52,52.00,0,0,0,0,0,1,1,1,1,1
14:33:55.676,52246,26,25.50,26124,52,52.00,0,0,0,0,0,1,1,1,1,1
14:33:55.727,52248,25,25.33,26125,52,52.00,0,0,0,0,0,1,1,1,1,1
14:33:55.778,52250,25,25.25,26126,52,52.00,0,0,0,0,0,1,1,1,1,1
14:33:55.829,52252,26,25.40,26127,53,52.20,0,0,0,0,0,1,1,1,1,1
14:33:55.880,52254,26,25.50,26128,52,52.17,0,0,0,0,0,1,1,1,1,1
14:33:55.931,52256,26,25.57,26129,52,52.14,0,0,0,0,0,1,1,1,1,1
14:33:55.982,52258,25,25.50,26130,52,52.12,0,0,0,0,0,1,1,1,1,1
14:33:56.034,52260,24,25.33,26131,51,52.00,0,0,0,0,0,1,1,1,1,1
14:33:56.086,52262,26,25.40,26132,53,52.10,0,0,0,0,0,1,1,1,1,1
14:33:56.137,52264,26,25.45,26133,52,52.09,0,0,0,0,0,1,1,1,1,1
14:33:56.188,52266,25,25.42,26134,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:56.238,52268,25,25.38,26135,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:56.289,52270,26,25.43,26136,53,52.14,0,0,0,0,0,1,1,1,1,1
14:33:56.340,52272,26,25.47,26137,52,52.13,0,0,0,0,0,1,1,1,1,1
14:33:56.391,52274,25,25.44,26138,51,52.06,0,0,0,0,0,1,1,1,1,1
14:33:56.441,52276,25,25.41,26139,52,52.06,0,0,0,0,0,1,1,1,1,1
14:33:56.492,52278,25,25.39,26140,52,52.06,0,0,0,0,0,1,1,1,1,1
14:33:56.543,52280,26,25.42,26141,53,52.11,0,0,0,0,0,1,1,1,1,1
14:33:56.593,52282,26,25.45,26142,52,52.10,0,0,0,0,0,1,1,1,1,1
14:33:56.695,52284,25,25.43,26143,52,52.10,0,0,0,0,0,1,1,1,1,1
14:33:56.695,52286,25,25.41,26144,52,52.09,0,0,0,0,0,1,1,1,1,1
14:33:56.797,52288,25,25.39,26145,52,52.09,0,0,0,0,0,1,1,1,1,1
14:33:56.798,52290,26,25.42,26146,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:56.899,52292,26,25.44,26147,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:56.950,52294,25,25.42,26148,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:57.001,52296,25,25.41,26149,52,52.07,0,0,0,0,0,1,1,1,1,1
14:33:57.051,52298,26,25.43,26150,53,52.11,0,0,0,0,0,1,1,1,1,1
14:33:57.102,52300,26,25.45,26151,52,52.10,0,0,0,0,0,1,1,1,1,1
14:33:57.153,52302,25,25.43,26152,51,52.07,0,0,0,0,0,1,1,1,1,1
14:33:57.204,52304,25,25.42,26153,52,52.06,0,0,0,0,0,1,1,1,1,1
14:33:57.255,52306,26,25.44,26154,53,52.09,0,0,0,0,0,1,1,1,1,1
14:33:57.306,52308,26,25.45,26155,52,52.09,0,0,0,0,0,1,1,1,1,1
14:33:57.357,52310,26,25.47,26156,52,52.09,0,0,0,0,0,1,1,1,1,1
14:33:57.408,52312,25,25.46,26157,52,52.09,0,0,0,0,0,1,1,1,1,1
14:33:57.459,52314,25,25.44,26158,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:57.509,52316,25,25.43,26159,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:57.560,52318,26,25.45,26160,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:57.610,52320,26,25.46,26161,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:57.661,52322,25,25.45,26162,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:57.713,52324,26,25.46,26163,53,52.10,0,0,0,0,0,1,1,1,1,1
14:33:57.764,52326,26,25.48,26164,52,52.10,0,0,0,0,0,1,1,1,1,1
14:33:57.815,52328,26,25.49,26165,52,52.09,0,0,0,0,0,1,1,1,1,1
14:33:57.866,52330,24,25.45,26166,51,52.07,0,0,0,0,0,1,1,1,1,1
14:33:57.917,52332,24,25.42,26167,52,52.07,0,0,0,0,0,1,1,1,1,1
14:33:57.968,52334,26,25.43,26168,53,52.09,0,0,0,0,0,1,1,1,1,1
14:33:58.019,52336,26,25.45,26169,52,52.09,0,0,0,0,0,1,1,1,1,1
14:33:58.070,52338,26,25.46,26170,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:58.120,52340,25,25.45,26171,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:58.171,52342,26,25.46,26172,53,52.10,0,0,0,0,0,1,1,1,1,1
14:33:58.222,52344,25,25.45,26173,51,52.08,0,0,0,0,0,1,1,1,1,1
14:33:58.273,52346,25,25.44,26174,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:58.324,52348,25,25.43,26175,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:58.374,52350,25,25.43,26176,52,52.07,0,0,0,0,0,1,1,1,1,1
14:33:58.425,52352,26,25.44,26177,53,52.09,0,0,0,0,0,1,1,1,1,1
14:33:58.476,52354,26,25.45,26178,52,52.09,0,0,0,0,0,1,1,1,1,1
14:33:58.577,52356,26,25.46,26179,52,52.09,0,0,0,0,0,1,1,1,1,1
14:33:58.577,52358,24,25.43,26180,51,52.07,0,0,0,0,0,1,1,1,1,1
14:33:58.627,52360,24,25.41,26181,52,52.07,0,0,0,0,0,1,1,1,1,1
14:33:58.678,52362,26,25.42,26182,53,52.08,0,0,0,0,0,1,1,1,1,1
14:33:58.729,52364,26,25.43,26183,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:58.781,52366,25,25.42,26184,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:58.882,52368,25,25.41,26185,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:58.883,52370,26,25.42,26186,53,52.09,0,0,0,0,0,1,1,1,1,1
14:33:58.984,52372,25,25.42,26187,51,52.08,0,0,0,0,0,1,1,1,1,1
14:33:58.984,52374,25,25.41,26188,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:59.086,52376,25,25.40,26189,52,52.07,0,0,0,0,0,1,1,1,1,1
14:33:59.137,52378,25,25.40,26190,52,52.07,0,0,0,0,0,1,1,1,1,1
14:33:59.188,52380,26,25.41,26191,53,52.09,0,0,0,0,0,1,1,1,1,1
14:33:59.239,52382,26,25.41,26192,52,52.09,0,0,0,0,0,1,1,1,1,1
14:33:59.290,52384,25,25.41,26193,52,52.08,0,0,0,0,0,1,1,1,1,1
14:33:59.341,52386,24,25.39,26194,51,52.07,0,0,0,0,0,1,1,1,1,1
14:33:59.392,52388,25,25.38,26195,53,52.08,0,0,0,0,0,1,1,1,1,1
